sample,DDX11L1_expression,tissue_type
GTEX-13SLX-0011-R4a-SM-5O9BJ,0,Amygdala 
GTEX-13SLX-0011-R5a-SM-5O9BV,0,Caudate (basal ganglia) 
GTEX-13SLX-0011-R6a-SM-5PNX4,0,Nucleus accumbens (basal ganglia) 
GTEX-13SLX-0011-R8b-SM-5PNWZ,0,Hypothalamus 
GTEX-13SLX-0011-R9b-SM-5SI6X,0,Spinal cord (cervical c-1) 
GTEX-13SLX-3126-SM-5S2Q5,0,Cortex 
GTEX-13SLX-3226-SM-5YYA6,0.05043,Cerebellum 
GTEX-13VXU-0011-R11b-SM-5O9DJ,0.02284,Cerebellar Hemisphere 
GTEX-13VXU-0011-R3b-SM-5O9CU,0,Anterior cingulate cortex (BA24) 
GTEX-13VXU-0011-R4b-SM-5O9CI,0,Amygdala 
GTEX-13VXU-0011-R5a-SM-5O9D7,0,Caudate (basal ganglia) 
GTEX-13VXU-0011-R6a-SM-5SI71,0,Nucleus accumbens (basal ganglia) 
GTEX-13VXU-0011-R7b-SM-5SI72,0.01578,Putamen (basal ganglia) 
GTEX-13VXU-0011-R9b-SM-5SI73,0,Spinal cord (cervical c-1) 
GTEX-13VXU-2926-SM-5LU5C,0.02096,Cortex 
GTEX-13VXU-3026-SM-5LU3K,0,Cerebellum 
GTEX-13X6I-0011-R10a-SM-5PNWI,0,Frontal Cortex (BA9) 
GTEX-13X6I-0011-R11a-SM-5P9HN,0.06993,Cerebellar Hemisphere 
GTEX-13X6I-0011-R1b-SM-5PNZC,0,Hippocampus 
GTEX-13X6I-0011-R2b-SM-5PNWQ,0.04546,Substantia nigra 
GTEX-13X6I-0011-R3b-SM-5P9HM,0,Anterior cingulate cortex (BA24) 
GTEX-13X6I-0011-R4b-SM-5PNU9,0,Amygdala 
GTEX-13X6I-0011-R5a-SM-5PNWW,0,Caudate (basal ganglia) 
GTEX-13X6I-0011-R7b-SM-5PNWP,0.02119,Putamen (basal ganglia) 
GTEX-13X6I-0011-R8a-SM-5PNZF,0,Hypothalamus 
GTEX-13X6I-0011-R9b-SM-5PNZJ,0,Spinal cord (cervical c-1) 
GTEX-13X6I-2926-SM-5Q5C3,0.03692,Cerebellum 
GTEX-13X6J-0011-R10b-SM-5PNWA,0,Frontal Cortex (BA9) 
GTEX-13X6J-0011-R11a-SM-5P9HE,0.01545,Cerebellar Hemisphere 
GTEX-13X6J-0011-R3b-SM-5P9K5,0,Anterior cingulate cortex (BA24) 
GTEX-13X6J-0011-R4b-SM-5P9K4,0,Amygdala 
GTEX-13X6J-0011-R5b-SM-5PNWT,0,Caudate (basal ganglia) 
GTEX-13X6J-0011-R6a-SM-5PNUB,0,Nucleus accumbens (basal ganglia) 
GTEX-13X6J-0011-R7b-SM-5PNUC,0,Putamen (basal ganglia) 
GTEX-13X6J-0011-R8b-SM-5PNUA,0.01694,Hypothalamus 
GTEX-13X6J-2926-SM-7EPGP,0,Cerebellum 
GTEX-13X6J-3026-SM-5Q5CU,0,Cortex 
GTEX-13X6K-0011-R10a-SM-5P9JR,0.0391,Frontal Cortex (BA9) 
GTEX-13X6K-0011-R11a-SM-5P9F5,0,Cerebellar Hemisphere 
GTEX-13X6K-0011-R2b-SM-5P9K3,0,Substantia nigra 
GTEX-13X6K-0011-R3b-SM-5PNUD,0,Anterior cingulate cortex (BA24) 
GTEX-13X6K-0011-R4b-SM-5P9HO,0,Amygdala 
GTEX-13X6K-0011-R5b-SM-5PNUE,0,Caudate (basal ganglia) 
GTEX-13X6K-0011-R6a-SM-5P9K6,0,Nucleus accumbens (basal ganglia) 
GTEX-13X6K-0011-R7b-SM-5P9K7,0,Putamen (basal ganglia) 
GTEX-13X6K-0011-R8b-SM-5PNZ4,0,Hypothalamus 
GTEX-13X6K-2826-SM-5O9DS,0.01995,Cerebellum 
GTEX-13X6K-2926-SM-5Q5D5,0.01709,Cortex 
GTEX-1445S-0011-R10a-SM-5PNWB,0,Frontal Cortex (BA9) 
GTEX-1445S-0011-R2b-SM-5PNUH,0,Substantia nigra 
GTEX-1445S-0011-R3a-SM-5P9HY,0,Anterior cingulate cortex (BA24) 
GTEX-1445S-0011-R4a-SM-5PNWN,0.01782,Amygdala 
GTEX-1445S-0011-R5a-SM-5PNUS,0.01428,Caudate (basal ganglia) 
GTEX-1445S-0011-R6b-SM-5PNUF,0.02958,Nucleus accumbens (basal ganglia) 
GTEX-1445S-0011-R7b-SM-5PNUG,0,Putamen (basal ganglia) 
GTEX-1445S-0011-R8a-SM-5PNWX,0,Hypothalamus 
GTEX-1445S-3026-SM-5O9BR,0.01319,Cortex 
GTEX-144FL-3026-SM-5O99C,0,Cortex 
GTEX-144GL-0011-R11b-SM-5P9F6,0,Cerebellar Hemisphere 
GTEX-144GL-0011-R1a-SM-5PNZ5,0.01361,Hippocampus 
GTEX-144GL-0011-R3a-SM-5P9HP,0,Anterior cingulate cortex (BA24) 
GTEX-144GL-0011-R4a-SM-5PNUI,0,Amygdala 
GTEX-144GL-0011-R5b-SM-5PNUJ,0,Caudate (basal ganglia) 
GTEX-144GL-0011-R6a-SM-5P9HW,0,Nucleus accumbens (basal ganglia) 
GTEX-144GL-0011-R7b-SM-5P9HX,0.01596,Putamen (basal ganglia) 
GTEX-144GL-0011-R8a-SM-5Q5B1,0,Hypothalamus 
GTEX-144GL-2926-SM-5O99F,0,Cerebellum 
GTEX-144GL-3026-SM-5Q5CW,0.01594,Cortex 
GTEX-144GO-0011-R1a-SM-5PNWO,0,Hippocampus 
GTEX-144GO-0011-R5a-SM-5PNUR,0,Caudate (basal ganglia) 
GTEX-144GO-0011-R6b-SM-5S2V7,0,Nucleus accumbens (basal ganglia) 
GTEX-144GO-0011-R7b-SM-5S2TT,0,Putamen (basal ganglia) 
GTEX-145LS-0011-R10a-SM-5PNUQ,0.04669,Frontal Cortex (BA9) 
GTEX-145LS-0011-R1b-SM-5PNUP,0,Hippocampus 
GTEX-145LS-0011-R2a-SM-5PNZI,0,Substantia nigra 
GTEX-145LS-0011-R3a-SM-5S2VJ,0.02186,Anterior cingulate cortex (BA24) 
GTEX-145LS-0011-R4b-SM-5S2UT,0,Amygdala 
GTEX-145LS-0011-R5a-SM-5SI65,0,Caudate (basal ganglia) 
GTEX-145LS-0011-R6b-SM-5PNWL,0,Nucleus accumbens (basal ganglia) 
GTEX-145LS-0011-R7a-SM-5PNWM,0,Putamen (basal ganglia) 
GTEX-145LS-0011-R8b-SM-5PNXA,0,Hypothalamus 
GTEX-145LS-3026-SM-5O99S,0,Cerebellum 
GTEX-145LS-3126-SM-5Q5BY,0,Cortex 
GTEX-145LU-0011-R10a-SM-5PNWJ,0,Frontal Cortex (BA9) 
GTEX-145LU-0011-R11b-SM-5P9JX,0,Cerebellar Hemisphere 
GTEX-145LU-0011-R1a-SM-5Q5CE,0,Hippocampus 
GTEX-145LU-0011-R3a-SM-5P9K2,0.02521,Anterior cingulate cortex (BA24) 
GTEX-145LU-0011-R6a-SM-5S2V6,0,Nucleus accumbens (basal ganglia) 
GTEX-145LU-0011-R8b-SM-5PNZG,0.01176,Hypothalamus 
GTEX-145LU-0011-R9b-SM-5SI66,0,Spinal cord (cervical c-1) 
GTEX-145LU-2626-SM-5LU9Z,0,Cerebellum 
GTEX-145MF-2726-SM-5O995,0,Cortex 
GTEX-145MF-2826-SM-7EPGU,0,Cerebellum 
GTEX-145MG-0011-R10a-SM-5PNWG,0.007032,Frontal Cortex (BA9) 
GTEX-145MG-0011-R3b-SM-5SI67,0.01473,Anterior cingulate cortex (BA24) 
GTEX-145MG-0011-R5b-SM-5S2VU,0.01389,Caudate (basal ganglia) 
GTEX-145MG-0011-R7b-SM-5P9JY,0,Putamen (basal ganglia) 
GTEX-145MG-3026-SM-5RQJA,0,Cortex 
GTEX-145MG-3126-SM-5Q5D3,0.0228,Cerebellum 
GTEX-145MH-0011-R10b-SM-5PNUK,0,Frontal Cortex (BA9) 
GTEX-145MH-0011-R11a-SM-5P9HQ,0,Cerebellar Hemisphere 
GTEX-145MH-0011-R1b-SM-5PNWY,0,Hippocampus 
GTEX-145MH-0011-R3b-SM-5P9JQ,0,Anterior cingulate cortex (BA24) 
GTEX-145MH-0011-R5a-SM-5P9JT,0,Caudate (basal ganglia) 
GTEX-145MH-0011-R6a-SM-5PNZ7,0,Nucleus accumbens (basal ganglia) 
GTEX-145MH-0011-R7a-SM-5PNWH,0,Putamen (basal ganglia) 
GTEX-145MH-0011-R8a-SM-5PNUL,0,Hypothalamus 
GTEX-145MH-2926-SM-5Q5D2,0,Cerebellum 
GTEX-145MH-3026-SM-5Q5DZ,0,Cortex 
GTEX-145MI-0011-R10a-SM-5PNZD,0,Frontal Cortex (BA9) 
GTEX-145MI-0011-R11a-SM-5P9JZ,0.01934,Cerebellar Hemisphere 
GTEX-145MI-0011-R4b-SM-5PNZH,0.01208,Amygdala 
GTEX-145MI-0011-R6a-SM-5PNZA,0,Nucleus accumbens (basal ganglia) 
GTEX-145MI-0011-R8b-SM-5PNZ9,0.01355,Hypothalamus 
GTEX-14753-0011-R10b-SM-5S2WE,0,Frontal Cortex (BA9) 
GTEX-14753-0011-R5a-SM-5S2VW,0,Caudate (basal ganglia) 
GTEX-14753-0011-R6b-SM-5S2UD,0.0191,Nucleus accumbens (basal ganglia) 
GTEX-14753-0011-R8b-SM-5S2U1,0,Hypothalamus 
GTEX-1477Z-0011-R10b-SM-5S2RF,0.02298,Frontal Cortex (BA9) 
GTEX-1477Z-0011-R3b-SM-5PNX9,0.01098,Anterior cingulate cortex (BA24) 
GTEX-1477Z-0011-R5b-SM-5PNUO,0,Caudate (basal ganglia) 
GTEX-1477Z-0011-R8b-SM-5S2RG,0,Hypothalamus 
GTEX-147F4-0011-R10b-SM-5S2WC,0,Frontal Cortex (BA9) 
GTEX-147F4-0011-R6b-SM-5S2UP,0,Nucleus accumbens (basal ganglia) 
GTEX-147F4-0011-R8b-SM-5S2UN,0.01406,Hypothalamus 
GTEX-147F4-3026-SM-5Q5BJ,0,Cerebellum 
GTEX-147GR-0011-R10b-SM-5S2UM,0.01586,Frontal Cortex (BA9) 
GTEX-147GR-0011-R2b-SM-5S2RQ,0.04571,Substantia nigra 
GTEX-147GR-0011-R4a-SM-5S2V2,0,Amygdala 
GTEX-147GR-0011-R6b-SM-5S2RO,0,Nucleus accumbens (basal ganglia) 
GTEX-147GR-0011-R7a-SM-5S2RP,0,Putamen (basal ganglia) 
GTEX-147GR-0011-R9a-SM-5S2UY,0,Spinal cord (cervical c-1) 
GTEX-147GR-3026-SM-5S2ML,0,Cortex 
GTEX-147GR-3126-SM-5S2PM,0,Cerebellum 
GTEX-148VJ-0011-R3b-SM-69LQJ,0,Anterior cingulate cortex (BA24) 
GTEX-148VJ-0011-R9b-SM-5SI77,0,Spinal cord (cervical c-1) 
GTEX-14A5I-2826-SM-5SIBF,0,Cerebellum 
GTEX-14A5I-2926-SM-5Q5CQ,0,Cortex 
GTEX-14ABY-0011-R11a-SM-5SI7C,0,Cerebellar Hemisphere 
GTEX-14ABY-0011-R1a-SM-6EU2W,0.03459,Hippocampus 
GTEX-14ABY-0011-R4b-SM-5S2VN,0,Amygdala 
GTEX-14ABY-0011-R5b-SM-5SI7B,0,Caudate (basal ganglia) 
GTEX-14ABY-0011-R6a-SM-5PNWR,0,Nucleus accumbens (basal ganglia) 
GTEX-14ABY-0011-R7b-SM-5PNWS,0,Putamen (basal ganglia) 
GTEX-14ABY-0011-R9a-SM-5PNZK,0,Spinal cord (cervical c-1) 
GTEX-14ABY-3026-SM-664NE,0.0716,Cerebellum 
GTEX-14ASI-0011-R10b-SM-5S2VZ,0.04988,Frontal Cortex (BA9) 
GTEX-14ASI-0011-R11b-SM-6AJBJ,0,Cerebellar Hemisphere 
GTEX-14ASI-0011-R1b-SM-5S2TY,0,Hippocampus 
GTEX-14ASI-0011-R2b-SM-5YY9H,0,Substantia nigra 
GTEX-14ASI-0011-R4a-SM-69LQ4,0,Amygdala 
GTEX-14ASI-0011-R5b-SM-6EU2M,0,Caudate (basal ganglia) 
GTEX-14ASI-0011-R6a-SM-5S2UZ,0,Nucleus accumbens (basal ganglia) 
GTEX-14ASI-0011-R7b-SM-5YY9G,0.01511,Putamen (basal ganglia) 
GTEX-14ASI-0011-R8b-SM-5S2UB,0.08933,Hypothalamus 
GTEX-14ASI-2926-SM-5Q5DG,0.02919,Cerebellum 
GTEX-14ASI-3026-SM-5S2PN,0,Cortex 
GTEX-14BIL-0011-R10a-SM-5SI75,0,Frontal Cortex (BA9) 
GTEX-14BIL-0011-R8b-SM-69LQK,0,Hypothalamus 
GTEX-14BIL-0011-R9a-SM-5SI7A,0,Spinal cord (cervical c-1) 
GTEX-14BIL-3026-SM-7EWD4,0,Cortex 
GTEX-14BIM-0011-R11b-SM-5S2RN,0,Cerebellar Hemisphere 
GTEX-14BIM-0011-R1a-SM-69LQI,0,Hippocampus 
GTEX-14BIM-0011-R2b-SM-69LQ6,0,Substantia nigra 
GTEX-14BIM-0011-R3b-SM-5S2RL,0.06618,Anterior cingulate cortex (BA24) 
GTEX-14BIM-0011-R4b-SM-5S2RK,0,Amygdala 
GTEX-14BIM-0011-R5b-SM-5S2RM,0.08721,Caudate (basal ganglia) 
GTEX-14BIM-0011-R6b-SM-5S2VB,0,Nucleus accumbens (basal ganglia) 
GTEX-14BIM-0011-R9a-SM-6LLJL,0.06823,Spinal cord (cervical c-1) 
GTEX-14BIM-3026-SM-7EWCY,0,Cortex 
GTEX-14BIM-3126-SM-5Q5C7,0.05268,Cerebellum 
GTEX-14BIN-0011-R10a-SM-5S2UA,0,Frontal Cortex (BA9) 
GTEX-14BIN-0011-R11a-SM-5SI79,0.02601,Cerebellar Hemisphere 
GTEX-14BIN-0011-R2a-SM-5S2RJ,0,Substantia nigra 
GTEX-14BIN-0011-R3b-SM-6AJBL,0,Anterior cingulate cortex (BA24) 
GTEX-14BIN-0011-R5b-SM-5SI78,0.01631,Caudate (basal ganglia) 
GTEX-14BIN-0011-R6a-SM-5S2RH,0,Nucleus accumbens (basal ganglia) 
GTEX-14BIN-0011-R7b-SM-5S2RI,0,Putamen (basal ganglia) 
GTEX-14BIN-0011-R9a-SM-5SI76,0,Spinal cord (cervical c-1) 
GTEX-14BIN-3226-SM-62LDR,0,Cortex 
GTEX-14BIN-3326-SM-5Q5E6,0,Cerebellum 
GTEX-14BMV-0011-R3a-SM-5ZZU7,0,Anterior cingulate cortex (BA24) 
GTEX-14BMV-0011-R5b-SM-62LFT,0,Caudate (basal ganglia) 
GTEX-14BMV-0011-R6b-SM-5YY9I,0.03602,Nucleus accumbens (basal ganglia) 
GTEX-14BMV-0011-R7b-SM-5YY9J,0.01216,Putamen (basal ganglia) 
GTEX-14BMV-0011-R9b-SM-5ZZUA,0,Spinal cord (cervical c-1) 
GTEX-14BMV-2926-SM-5TDEE,0.03196,Cerebellum 
GTEX-14BMV-3026-SM-5S2PQ,0,Cortex 
GTEX-14C39-0011-R11b-SM-5YYAF,0,Cerebellar Hemisphere 
GTEX-14C39-0011-R3b-SM-5YYA3,0.01386,Anterior cingulate cortex (BA24) 
GTEX-14C39-0011-R5b-SM-5ZZV1,0.01596,Caudate (basal ganglia) 
GTEX-14C39-3026-SM-5S2QE,0,Cerebellum 
GTEX-14C39-3126-SM-5ZZW6,0.03805,Cortex 
GTEX-14C5O-0011-R10a-SM-6872F,0,Frontal Cortex (BA9) 
GTEX-14C5O-0011-R11b-SM-6872H,0.05795,Cerebellar Hemisphere 
GTEX-14C5O-0011-R1b-SM-6AJBW,0,Hippocampus 
GTEX-14C5O-0011-R2a-SM-5ZZV2,0,Substantia nigra 
GTEX-14C5O-0011-R6a-SM-5YYB6,0,Nucleus accumbens (basal ganglia) 
GTEX-14C5O-0011-R7b-SM-5YYAH,0.01924,Putamen (basal ganglia) 
GTEX-14C5O-0011-R8a-SM-5YYAG,0,Hypothalamus 
GTEX-14C5O-2926-SM-5RQI1,0,Cerebellum 
GTEX-14C5O-3026-SM-5YYB2,0,Cortex 
GTEX-14DAQ-0011-R11a-SM-664NO,0.02849,Cerebellar Hemisphere 
GTEX-14DAQ-0011-R3b-SM-5YYAJ,0.02992,Anterior cingulate cortex (BA24) 
GTEX-14DAQ-0011-R4a-SM-5YYAI,0,Amygdala 
GTEX-14DAQ-0011-R5b-SM-5YYAK,0,Caudate (basal ganglia) 
GTEX-14DAQ-3026-SM-5S2QZ,0,Cerebellum 
GTEX-14DAQ-3126-SM-62LDS,0,Cortex 
GTEX-14E6C-0011-R9a-SM-6EU33,0,Spinal cord (cervical c-1) 
GTEX-14E6D-0011-R10a-SM-5YY9C,0,Frontal Cortex (BA9) 
GTEX-14E6D-0011-R11b-SM-664NP,0.1507,Cerebellar Hemisphere 
GTEX-14E6D-0011-R1b-SM-5YYAW,0,Hippocampus 
GTEX-14E6D-0011-R5b-SM-69LQR,0,Caudate (basal ganglia) 
GTEX-14E6D-2926-SM-664OP,0.01593,Cerebellum 
GTEX-14E7W-0011-R10a-SM-5YYAX,0.03432,Frontal Cortex (BA9) 
GTEX-14E7W-0011-R11a-SM-5ZZVA,0,Cerebellar Hemisphere 
GTEX-14E7W-0011-R1b-SM-5YYAT,0.01449,Hippocampus 
GTEX-14E7W-0011-R3b-SM-5YYB5,0,Anterior cingulate cortex (BA24) 
GTEX-14E7W-0011-R4b-SM-62LEA,0,Amygdala 
GTEX-14E7W-0011-R6b-SM-5ZZV3,0,Nucleus accumbens (basal ganglia) 
GTEX-14E7W-0011-R7b-SM-5ZZV4,0,Putamen (basal ganglia) 
GTEX-14E7W-0011-R9a-SM-62LE6,0,Spinal cord (cervical c-1) 
GTEX-14E7W-2926-SM-5S2R8,0.04741,Cerebellum 
GTEX-14JFF-0011-R4a-SM-5ZZV5,0,Amygdala 
GTEX-14JFF-2826-SM-6871Q,0,Cerebellum 
GTEX-14JG1-0011-R2a-SM-5ZZVE,0.01947,Substantia nigra 
GTEX-14JG1-0011-R3a-SM-62LEC,0.006737,Anterior cingulate cortex (BA24) 
GTEX-14JG1-0011-R4b-SM-62LEB,0,Amygdala 
GTEX-14JG1-0011-R5a-SM-62LED,0,Caudate (basal ganglia) 
GTEX-14JG1-0011-R6b-SM-5YYAU,0.01561,Nucleus accumbens (basal ganglia) 
GTEX-14JG1-0011-R7b-SM-5YYAV,0,Putamen (basal ganglia) 
GTEX-14JG1-2926-SM-686ZK,0,Cerebellum 
GTEX-14JG1-3026-SM-5YYAA,0,Cortex 
GTEX-14JIY-0011-R10a-SM-6AJAO,0,Frontal Cortex (BA9) 
GTEX-14JIY-0011-R1a-SM-68713,0.01335,Hippocampus 
GTEX-14JIY-0011-R3a-SM-5YYAQ,0.01368,Anterior cingulate cortex (BA24) 
GTEX-14JIY-0011-R4b-SM-5ZZV7,0,Amygdala 
GTEX-14JIY-0011-R5b-SM-62LE7,0,Caudate (basal ganglia) 
GTEX-14JIY-0011-R6b-SM-68714,0,Nucleus accumbens (basal ganglia) 
GTEX-14JIY-0011-R8a-SM-6AJAP,0,Hypothalamus 
GTEX-14JIY-0011-R9a-SM-6EU34,0,Spinal cord (cervical c-1) 
GTEX-14JIY-2326-SM-6AJAJ,0,Cerebellum 
GTEX-14JIY-2926-SM-69LPT,0,Cortex 
GTEX-14LLW-0011-R1a-SM-5ZZVD,0,Hippocampus 
GTEX-14LLW-0011-R3b-SM-62LFW,0,Anterior cingulate cortex (BA24) 
GTEX-14LLW-0011-R5b-SM-5ZZU6,0,Caudate (basal ganglia) 
GTEX-14LLW-0011-R8a-SM-62LFG,0,Hypothalamus 
GTEX-14LZ3-0011-R10b-SM-6AJA9,0,Frontal Cortex (BA9) 
GTEX-14LZ3-0011-R1a-SM-69LP5,0.01316,Hippocampus 
GTEX-14LZ3-0011-R3a-SM-664NQ,0.01153,Anterior cingulate cortex (BA24) 
GTEX-14LZ3-0011-R5b-SM-5ZZV8,0.01379,Caudate (basal ganglia) 
GTEX-14LZ3-0011-R6a-SM-D3L8C,0.009758,Nucleus accumbens (basal ganglia) 
GTEX-14LZ3-0011-R7a-SM-69LQN,0,Putamen (basal ganglia) 
GTEX-14LZ3-0011-R8b-SM-COH3M,0,Hypothalamus 
GTEX-14LZ3-3026-SM-5ZZVU,0,Cortex 
GTEX-14PHW-0011-R6b-SM-5YYAR,0,Nucleus accumbens (basal ganglia) 
GTEX-14PJM-0011-R10a-SM-686ZP,0,Frontal Cortex (BA9) 
GTEX-14PJM-0011-R1a-SM-CNPO3,0,Hippocampus 
GTEX-14PJM-0011-R3b-SM-5ZZV9,0,Anterior cingulate cortex (BA24) 
GTEX-14PJM-0011-R4a-SM-5YYAS,0,Amygdala 
GTEX-14PJM-0011-R6a-SM-6872G,0,Nucleus accumbens (basal ganglia) 
GTEX-14PJM-0011-R7a-SM-6AJBX,0.0194,Putamen (basal ganglia) 
GTEX-14PJM-0011-R8b-SM-69LPD,0,Hypothalamus 
GTEX-14PJM-0011-R9b-SM-6EU35,0.02976,Spinal cord (cervical c-1) 
GTEX-14PJM-3026-SM-6LLHM,0.02251,Cerebellum 
GTEX-14PJM-3126-SM-6EU2R,0.02054,Cortex 
GTEX-14PJO-0011-R10a-SM-686ZS,0.03005,Frontal Cortex (BA9) 
GTEX-14PJO-0011-R1b-SM-6AJAK,0,Hippocampus 
GTEX-14PJO-0011-R2a-SM-5ZZVF,0,Substantia nigra 
GTEX-14PJO-0011-R3a-SM-6AJBY,0,Anterior cingulate cortex (BA24) 
GTEX-14PJO-0011-R5a-SM-6AJBZ,0.01992,Caudate (basal ganglia) 
GTEX-14PJO-0011-R7a-SM-664NR,0,Putamen (basal ganglia) 
GTEX-14PJO-0011-R8a-SM-6AJAL,0.01888,Hypothalamus 
GTEX-14PJO-0011-R9b-SM-62LE9,0,Spinal cord (cervical c-1) 
GTEX-14PJO-2926-SM-686ZI,0,Cerebellum 
GTEX-14PN4-0011-R10b-SM-69LP2,0,Frontal Cortex (BA9) 
GTEX-14PN4-0011-R11a-SM-686ZW,0,Cerebellar Hemisphere 
GTEX-14PN4-0011-R1b-SM-69LP8,0,Hippocampus 
GTEX-14PN4-0011-R2a-SM-6EU2Y,0.02308,Substantia nigra 
GTEX-14PN4-0011-R3b-SM-686ZU,0,Anterior cingulate cortex (BA24) 
GTEX-14PN4-0011-R4a-SM-686ZT,0.01895,Amygdala 
GTEX-14PN4-0011-R5a-SM-686ZV,0,Caudate (basal ganglia) 
GTEX-14PN4-0011-R6b-SM-69LQU,0,Nucleus accumbens (basal ganglia) 
GTEX-14PN4-0011-R7b-SM-69LQQ,0.01632,Putamen (basal ganglia) 
GTEX-14PN4-0011-R8a-SM-6EU1H,0,Hypothalamus 
GTEX-14PN4-0011-R9a-SM-6LLH9,0.01616,Spinal cord (cervical c-1) 
GTEX-14PN4-3026-SM-664O4,0,Cerebellum 
GTEX-14PQA-0011-R10a-SM-6AJAA,0,Frontal Cortex (BA9) 
GTEX-14PQA-0011-R1b-SM-6EU1G,0,Hippocampus 
GTEX-14PQA-0011-R3b-SM-69LQO,0,Anterior cingulate cortex (BA24) 
GTEX-14PQA-0011-R4b-SM-6AJBU,0,Amygdala 
GTEX-14PQA-0011-R5b-SM-6AJC2,0,Caudate (basal ganglia) 
GTEX-14PQA-0011-R6b-SM-6AJAM,0,Nucleus accumbens (basal ganglia) 
GTEX-14PQA-0011-R8b-SM-6AJAB,0,Hypothalamus 
GTEX-15CHQ-0011-R10b-SM-6AJBV,0,Frontal Cortex (BA9) 
GTEX-15CHQ-0011-R11b-SM-686ZZ,0,Cerebellar Hemisphere 
GTEX-15CHQ-0011-R1a-SM-COH27,0,Hippocampus 
GTEX-15CHQ-0011-R2b-SM-6AJAD,0.04913,Substantia nigra 
GTEX-15CHQ-0011-R3b-SM-686ZY,0,Anterior cingulate cortex (BA24) 
GTEX-15CHQ-0011-R4a-SM-686ZX,0,Amygdala 
GTEX-15CHQ-0011-R5b-SM-6AJAN,0,Caudate (basal ganglia) 
GTEX-15CHQ-0011-R6b-SM-69LOX,0,Nucleus accumbens (basal ganglia) 
GTEX-15CHQ-0011-R7b-SM-D4P1Q,0.01496,Putamen (basal ganglia) 
GTEX-15CHQ-0011-R8b-SM-CNPO4,0.01364,Hypothalamus 
GTEX-15CHQ-0011-R9a-SM-6LLHX,0,Spinal cord (cervical c-1) 
GTEX-15DCD-0011-R10b-SM-6LPII,0,Frontal Cortex (BA9) 
GTEX-15DCD-0011-R11a-SM-D4P1R,0,Cerebellar Hemisphere 
GTEX-15DCD-0011-R1b-SM-6LPIJ,0,Hippocampus 
GTEX-15DCD-0011-R2b-SM-6LPIE,0,Substantia nigra 
GTEX-15DCD-0011-R3b-SM-D4P1P,0.0286,Anterior cingulate cortex (BA24) 
GTEX-15DCD-0011-R4a-SM-69LPB,0,Amygdala 
GTEX-15DCD-0011-R5a-SM-CXZKZ,0,Caudate (basal ganglia) 
GTEX-15DCD-0011-R6b-SM-6M46L,0,Nucleus accumbens (basal ganglia) 
GTEX-15DCD-0011-R7b-SM-6LPID,0,Putamen (basal ganglia) 
GTEX-15DCD-0011-R8b-SM-7KUEF,0.01928,Hypothalamus 
GTEX-15DCD-0011-R9b-SM-7KUED,0.02245,Spinal cord (cervical c-1) 
GTEX-15DCD-2926-SM-7KULT,0.05523,Cortex 
GTEX-15DDE-0011-R10a-SM-7KUKW,0.01416,Frontal Cortex (BA9) 
GTEX-15DDE-0011-R4b-SM-7KULI,0.01411,Amygdala 
GTEX-15DDE-0011-R9b-SM-6M46U,0.0249,Spinal cord (cervical c-1) 
GTEX-15DYW-0011-R11a-SM-6LPIT,0,Cerebellar Hemisphere 
GTEX-15DYW-0011-R2b-SM-7KUKY,0.01387,Substantia nigra 
GTEX-15DYW-0011-R3b-SM-6LPIM,0,Anterior cingulate cortex (BA24) 
GTEX-15DYW-0011-R4a-SM-6M46V,0,Amygdala 
GTEX-15DYW-0011-R5a-SM-6M46W,0,Caudate (basal ganglia) 
GTEX-15DYW-0011-R6b-SM-6PALA,0,Nucleus accumbens (basal ganglia) 
GTEX-15DYW-0011-R7a-SM-7KULG,0,Putamen (basal ganglia) 
GTEX-15DYW-0011-R9b-SM-6PALB,0.03563,Spinal cord (cervical c-1) 
GTEX-15DYW-3026-SM-7KFRM,0,Cerebellum 
GTEX-15EO6-0011-R11b-SM-6M47M,0,Cerebellar Hemisphere 
GTEX-15EO6-0011-R2a-SM-6M46R,0,Substantia nigra 
GTEX-15EO6-0011-R3b-SM-7KUDY,0.01695,Anterior cingulate cortex (BA24) 
GTEX-15EO6-0011-R4a-SM-7KUKZ,0.01429,Amygdala 
GTEX-15EO6-0011-R5b-SM-7KUDZ,0,Caudate (basal ganglia) 
GTEX-15EO6-0011-R6a-SM-7KULK,0,Nucleus accumbens (basal ganglia) 
GTEX-15EO6-0011-R7a-SM-6M46Q,0,Putamen (basal ganglia) 
GTEX-15EO6-0011-R9a-SM-6PALG,0,Spinal cord (cervical c-1) 
GTEX-15EO6-2926-SM-6M48D,0,Cerebellum 
GTEX-15EO6-3026-SM-7KUMA,0,Cortex 
GTEX-15ER7-0011-R11a-SM-6LPIL,0,Cerebellar Hemisphere 
GTEX-15ER7-0011-R1b-SM-7KUE1,0.01915,Hippocampus 
GTEX-15ER7-0011-R2a-SM-6M46O,0,Substantia nigra 
GTEX-15ER7-0011-R3a-SM-6LPIK,0,Anterior cingulate cortex (BA24) 
GTEX-15ER7-0011-R4a-SM-6M46S,0,Amygdala 
GTEX-15ER7-0011-R5b-SM-6M46T,0,Caudate (basal ganglia) 
GTEX-15ER7-0011-R6a-SM-6M46M,0,Nucleus accumbens (basal ganglia) 
GTEX-15ER7-0011-R7a-SM-6M46N,0.01876,Putamen (basal ganglia) 
